School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,X9503,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,257 Canal Road,Pelham,NY,10803,1034571.398,265681.0056
2018-2019,X9504,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,257 Canal Road,Pelham,NY,10803,1034571.398,265681.0056
2018-2019,X9505,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9506,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9509,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X951,D2D,Mini-Wagon,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,X9510,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9512,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9513,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9515,S2S PM,Standard Bus (GE),43199,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9516,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9518,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9519,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X952,D2D,Mini-Wagon,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,X9520,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,257 Canal Road,Pelham,NY,10803,1034571.398,265681.0056
2018-2019,X9521,S2S PM,Standard Bus (GE),43443,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9523,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9526,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9527,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X9529,S2S PM,Standard Bus (GE),43229,PW,PIONEER TRANSPORTATION CORP,PIONEER TRANSPORTATION CORP,751 Zerega Avenue,Bronx,NY,10473,1027786,239222
2018-2019,X953,D2D,Mini-Wagon,43199,IL,LITTLE LISA BUS CO. INC.,"LITTLE LINDA BUS CO.,INC.",1310 Oak Point Avenue,bronx,NY,10474,1016116,234548
2018-2019,X9530,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,1 Junius street,Brooklyn,NY,11207,1010794,185183
2018-2019,X9532,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,1 Junius street,Brooklyn,NY,11207,1010794,185183
2018-2019,X9533,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
2018-2019,X9534,S2S PM,Standard Bus (GE),43229,NW,SNT BUS INC,SNT BUS INC,2350 HERMANY AVENUE,Bronx,NY,10473,1027216,240011
